,Sample_ID,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,dataset,Date,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,quality_flag,sl_points,trend,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
29227,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.04,0.0371,0.0435,0.0064,High,751.0,-0.3805861234960593,33.398614192095394,-79.13773708627332,POINT (-79.13773708627332 33.398614192095394),94.86750843012123,0.4616117548683886,0.5402758734266385,8.183519536819189,8.183519536819189
29228,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.045,0.0414,0.048,0.0066,High,753.0,-0.31077798078061875,33.39899541491738,-79.13737347096946,POINT (-79.13737347096946 33.39899541491738),93.835715694395,0.4582191094010763,0.5318519634023509,7.908855821298102,7.908855821298102
29229,HannidesSCPIB21sw,0.502088942163194,0.54258173186585,0.591173079509038,0.654926151240773,0.689610447112795,0.828347630600884,0.938929443850179,1.07406375698992,1.19568463881569,1.35083230928358,1.4801220346735,sandsnap,2021-11-23,0.05,0.048,0.0573,0.0093,High,765.0,-0.24052846614172613,33.39940083072097,-79.13712455327763,POINT (-79.13712455327763 33.39940083072097),81.87528021503327,0.5493627456156351,0.6423084762352359,7.946237935711938,7.946237935711938
29522,HannidesSCHBSP21sw,0.437538521787349,0.472825407957783,0.515169671362304,0.570726411259276,0.600951565152721,0.721852180726502,0.818217185096455,0.935978128723636,1.0419629779881,1.17716428734737,1.28983204514676,sandsnap,2021-11-23,0.05,0.0447,0.0509,0.0062,High,832.0,-1.3815572665253273,33.51322938416265,-79.04851655158055,POINT (-79.04851655158055 33.51322938416265),82.85339038307322,0.6549201924560262,0.7645868361892082,7.908433412115281,7.908433412115281
29523,HannidesSCHBSP21sw,0.437538521787349,0.472825407957783,0.515169671362304,0.570726411259276,0.600951565152721,0.721852180726502,0.818217185096455,0.935978128723636,1.0419629779881,1.17716428734737,1.28983204514676,sandsnap,2021-11-23,0.045,0.0444,0.0481,0.0037,High,800.0,-1.5576218923980576,33.51351888268866,-79.04810815797153,POINT (-79.04810815797153 33.51351888268866),87.13115602874196,0.6942821752536468,0.8081957219807392,7.882044391517773,7.882044391517773
29878,HannidesSCMBSP21sw,0.433681952323926,0.468657811416999,0.510628842328687,0.565695891796348,0.595654633934649,0.715489602487852,0.811005222598614,0.927728193026724,1.03277886641202,1.16678847900604,1.27846315616771,sandsnap,2021-11-23,0.07,0.0601,0.0768,0.0167,High,489.0,-0.5705673078538805,33.64605200144817,-78.92946786683476,POINT (-78.92946786683476 33.64605200144817),89.68577404253645,0.5903670628954822,0.6906576830084974,7.946585579645518,7.946585579645518
29879,HannidesSCMBSP21sw,0.433681952323926,0.468657811416999,0.510628842328687,0.565695891796348,0.595654633934649,0.715489602487852,0.811005222598614,0.927728193026724,1.03277886641202,1.16678847900604,1.27846315616771,sandsnap,2021-11-23,0.07,0.0621,0.0794,0.0173,High,491.0,-0.6060306285860048,33.64635522221539,-78.92906498370715,POINT (-78.92906498370715 33.64635522221539),93.03562650209035,0.606250557944767,0.7064472976302224,7.841520746107492,7.841520746107492
29880,HannidesSCMBSP21sw,0.433681952323926,0.468657811416999,0.510628842328687,0.565695891796348,0.595654633934649,0.715489602487852,0.811005222598614,0.927728193026724,1.03277886641202,1.16678847900604,1.27846315616771,sandsnap,2021-11-23,0.075,0.0648,0.0824,0.0176,High,491.0,-0.5657884074479275,33.64666247956947,-78.92866747193614,POINT (-78.92866747193614 33.64666247956947),92.73776458866874,0.6235189848926497,0.7263213855425577,7.790013168104234,7.790013168104234
29881,HannidesSCMBSP21sw,0.433681952323926,0.468657811416999,0.510628842328687,0.565695891796348,0.595654633934649,0.715489602487852,0.811005222598614,0.927728193026724,1.03277886641202,1.16678847900604,1.27846315616771,sandsnap,2021-11-23,0.075,0.0691,0.0885,0.0194,High,497.0,-0.5368595248374768,33.646967187800854,-78.92826670652838,POINT (-78.92826670652838 33.646967187800854),93.6602453700255,0.6246205102542133,0.7275866765486475,7.800481776370628,7.800481776370628
29882,HannidesSCMBSP21sw,0.433681952323926,0.468657811416999,0.510628842328687,0.565695891796348,0.595654633934649,0.715489602487852,0.811005222598614,0.927728193026724,1.03277886641202,1.16678847900604,1.27846315616771,sandsnap,2021-11-23,0.075,0.0663,0.0854,0.0191,High,488.0,-0.6450726261232713,33.64739986666094,-78.92803270959257,POINT (-78.92803270959257 33.64739986666094),91.13334352360147,0.40474685950148703,0.4729160391031015,7.951358770410706,7.951358770410706
30227,HannidesSCSSB21sw,0.457626911140778,0.494533898566677,0.538822283477755,0.59692975974806,0.628542619247857,0.754994057247042,0.855783398290073,0.978951014857836,1.08980186976882,1.23121057895293,1.34905116993969,sandsnap,2021-11-23,0.06,0.0517,0.0655,0.0138,High,437.0,1.5217828182652922,33.75566278393792,-78.79245989480003,POINT (-78.79245989480003 33.75566278393792),92.2970438017717,0.488442049625832,0.570780142654015,7.9217245611869425,7.9217245611869425
30228,HannidesSCSSB21sw,0.457626911140778,0.494533898566677,0.538822283477755,0.59692975974806,0.628542619247857,0.754994057247042,0.855783398290073,0.978951014857836,1.08980186976882,1.23121057895293,1.34905116993969,sandsnap,2021-11-23,0.06,0.0545,0.0668,0.0123,High,423.0,1.550671959465945,33.755840673292525,-78.79194257161103,POINT (-78.79194257161103 33.755840673292525),95.9211683684379,0.5244721299141765,0.6131647640803002,7.807738731394278,7.807738731394278
30229,HannidesSCSSB21sw,0.457626911140778,0.494533898566677,0.538822283477755,0.59692975974806,0.628542619247857,0.754994057247042,0.855783398290073,0.978951014857836,1.08980186976882,1.23121057895293,1.34905116993969,sandsnap,2021-11-23,0.065,0.0577,0.0702,0.0125,High,426.0,1.575141317965222,33.75610847803087,-78.79150735877522,POINT (-78.79150735877522 33.75610847803087),96.84043042622575,0.5292038400471605,0.6193804647184534,7.727019857289903,7.727019857289903
30230,HannidesSCSSB21sw,0.457626911140778,0.494533898566677,0.538822283477755,0.59692975974806,0.628542619247857,0.754994057247042,0.855783398290073,0.978951014857836,1.08980186976882,1.23121057895293,1.34905116993969,sandsnap,2021-11-23,0.07,0.0627,0.0772,0.0145,High,424.0,1.6466114265687497,33.75637562482309,-78.79107156179728,POINT (-78.79107156179728 33.75637562482309),100.38679808609261,0.5646474381574847,0.6624069705592692,7.645422234631497,7.645422234631497
30630,HannidesSCWIB21sw,0.37648830187889,0.406851570920049,0.44328749376944,0.491092342074668,0.517100147780292,0.621131370602788,0.704050462406614,0.805380095081565,0.89657676448902,1.01291328993263,1.10986039446898,sandsnap,2021-11-23,0.03,0.0298,0.0317,0.0019,High,506.0,1.225917062053842,33.84270856548942,-78.58728581937262,POINT (-78.58728581937262 33.84270856548942),104.494908382409,0.26278388213425863,0.31041623849539723,7.714877469215976,7.714877469215976
30631,HannidesSCWIB21sw,0.37648830187889,0.406851570920049,0.44328749376944,0.491092342074668,0.517100147780292,0.621131370602788,0.704050462406614,0.805380095081565,0.89657676448902,1.01291328993263,1.10986039446898,sandsnap,2021-11-23,0.03,0.0298,0.0325,0.0027,High,509.0,1.2023339714922463,33.8428588305115,-78.58677660609997,POINT (-78.58677660609997 33.8428588305115),103.69338398416797,0.5857566312312703,0.6873779817561251,7.6962031430855395,7.6962031430855395
30632,HannidesSCWIB21sw,0.37648830187889,0.406851570920049,0.44328749376944,0.491092342074668,0.517100147780292,0.621131370602788,0.704050462406614,0.805380095081565,0.89657676448902,1.01291328993263,1.10986039446898,sandsnap,2021-11-23,0.03,0.0299,0.0353,0.0054,High,514.0,1.1854972331619589,33.84308906204626,-78.5862934534286,POINT (-78.5862934534286 33.84308906204626),107.35308051159184,0.5122321326640702,0.603202360672426,7.630788646501488,7.630788646501488
30633,HannidesSCWIB21sw,0.37648830187889,0.406851570920049,0.44328749376944,0.491092342074668,0.517100147780292,0.621131370602788,0.704050462406614,0.805380095081565,0.89657676448902,1.01291328993263,1.10986039446898,sandsnap,2021-11-23,0.03,0.0299,0.0337,0.0038,High,521.0,1.2166369857019554,33.84317823497264,-78.58576432627379,POINT (-78.58576432627379 33.84317823497264),110.95036240228579,0.44359517964282674,0.5255790604247274,7.5996788530661386,7.5996788530661386
30634,HannidesSCWIB21sw,0.37648830187889,0.406851570920049,0.44328749376944,0.491092342074668,0.517100147780292,0.621131370602788,0.704050462406614,0.805380095081565,0.89657676448902,1.01291328993263,1.10986039446898,sandsnap,2021-11-23,0.035,0.0328,0.0355,0.0027,High,519.0,1.2293764318941853,33.84330653098056,-78.58524795287201,POINT (-78.58524795287201 33.84330653098056),115.65550623595668,0.3539550184536185,0.42481628786078457,7.283453469695511,7.283453469695511
31367,Virginia Beach,0.363679055889513,0.393416122091221,0.429100601533269,0.474501957096438,0.499114887013153,0.597566606680014,0.676774818481386,0.773963687424458,0.861433669473223,0.972296490003877,1.06468217377942,sandsnap,2021-09-14,0.06,0.0535,0.0719,0.0184,High,502.0,1.7663527445494478,36.84811228549939,-75.9723535177927,POINT (-75.9723535177927 36.84811228549939),125.87809319328845,0.28374370167072654,0.3501441455174904,6.969213190209072,6.969213190209072
31368,McGill 20th St 8/27/21,0.608673090003142,0.658812152135103,0.718979026693458,0.793861506366776,0.834298329643545,0.99604562275062,1.12762900238873,1.2892447904961,1.43469899979272,1.61828759876116,1.77127809790151,sandsnap,2021-09-15,0.065,0.0552,0.0782,0.023,High,503.0,1.770927611765862,36.84855253858652,-75.97247351301132,POINT (-75.97247351301132 36.84855253858652),134.40723417723947,0.2011831327877071,0.2492911988259453,5.906535278232668,5.906535278232668
31369,McGill 20th St 8/27/21,0.608673090003142,0.658812152135103,0.718979026693458,0.793861506366776,0.834298329643545,0.99604562275062,1.12762900238873,1.2892447904961,1.43469899979272,1.61828759876116,1.77127809790151,sandsnap,2021-09-15,0.06,0.0533,0.0758,0.0225,High,503.0,1.788080711252741,36.848991539720245,-75.97260067146146,POINT (-75.97260067146146 36.848991539720245),137.96500239405918,0.17742135229457584,0.22592886997153377,4.980350860068815,4.980350860068815
31370,McGill 20th St 8/27/21,0.608673090003142,0.658812152135103,0.718979026693458,0.793861506366776,0.834298329643545,0.99604562275062,1.12762900238873,1.2892447904961,1.43469899979272,1.61828759876116,1.77127809790151,sandsnap,2021-09-15,0.06,0.0517,0.0739,0.0222,High,501.0,1.8286337424847143,36.849432364206294,-75.972717398268,POINT (-75.972717398268 36.849432364206294),120.56013899812183,0.3326687884680641,0.40391125074309586,7.115335058073514,7.115335058073514
31447,McGill 57th St 8/27/21,0.61709351205563,0.667914352570079,0.728899361187417,0.804852484808465,0.845875817092295,1.00996914622761,1.14339618065599,1.30728532229343,1.45478554976712,1.64097834633266,1.79613901013728,sandsnap,2021-09-15,0.06,0.0504,0.0802,0.0298,Medium,509.0,3.0215966427283503,36.88322783363189,-75.98255352549194,POINT (-75.98255352549194 36.88322783363189),118.6984240264042,0.42894909858447816,0.5141410552527971,7.234874900844356,7.234874900844356
31448,McGill 57th St 8/27/21,0.61709351205563,0.667914352570079,0.728899361187417,0.804852484808465,0.845875817092295,1.00996914622761,1.14339618065599,1.30728532229343,1.45478554976712,1.64097834633266,1.79613901013728,sandsnap,2021-09-15,0.065,0.0518,0.0855,0.0337,Medium,506.0,3.0545341052576256,36.883664271410716,-75.9826953824327,POINT (-75.9826953824327 36.883664271410716),120.05372245826771,0.26097053516314966,0.31574841100269085,7.09124382164915,7.09124382164915
31449,McGill 57th St 8/27/21,0.61709351205563,0.667914352570079,0.728899361187417,0.804852484808465,0.845875817092295,1.00996914622761,1.14339618065599,1.30728532229343,1.45478554976712,1.64097834633266,1.79613901013728,sandsnap,2021-09-15,0.065,0.0513,0.0829,0.0316,Medium,507.0,3.0694241045283204,36.88409488312155,-75.98287056790778,POINT (-75.98287056790778 36.88409488312155),121.85297720474944,0.2322326256792239,0.2842626087844498,6.772126090446175,6.772126090446175
31450,McGill 57th St 8/27/21,0.61709351205563,0.667914352570079,0.728899361187417,0.804852484808465,0.845875817092295,1.00996914622761,1.14339618065599,1.30728532229343,1.45478554976712,1.64097834633266,1.79613901013728,sandsnap,2021-09-15,0.065,0.0537,0.087,0.0333,Medium,508.0,3.1195468057879236,36.884524762983965,-75.98304993542858,POINT (-75.98304993542858 36.884524762983965),130.43604974445876,0.2109170754170797,0.2640926170182693,6.057700258130349,6.057700258130349
31451,McGill 57th St 8/27/21,0.61709351205563,0.667914352570079,0.728899361187417,0.804852484808465,0.845875817092295,1.00996914622761,1.14339618065599,1.30728532229343,1.45478554976712,1.64097834633266,1.79613901013728,sandsnap,2021-09-15,0.07,0.0567,0.0958,0.0391,Medium,510.0,3.221927595560877,36.88499397133788,-75.9830043313992,POINT (-75.9830043313992 36.88499397133788),125.47161169053392,0.2803719290808668,0.34602935545673424,6.697699292131993,6.697699292131993
31479,McGill 71st St 8/27/21,0.641135397706341,0.693885568908737,0.757185774351613,0.836267472277409,0.879013770932939,1.04999896555506,1.18876614840625,1.35921440773764,1.51261784113589,1.70636466935523,1.867820359538,sandsnap,2021-09-15,0.095,0.0626,0.194,0.1314,Low,511.0,3.9061253758668193,36.89736430910743,-75.98611796171386,POINT (-75.98611796171386 36.89736430910743),129.7698148618043,0.24680440159793232,0.31318222446976346,5.973015177588445,5.973015177588445
